columna_pca,componente,correlacion_columna_score
p65mas,PC37,0.00297108617978991
p65mas,PC38,0.0021620156865784874
p65mas,PC39,-0.00011943383048110699
p65mas,PC40,0.00010152210073207787
p65mas,PC41,0.0003985546123505715
p65mas,PC42,0.00020776050567272096
p65mas,PC43,7.091817261959207e-05
p65mas,PC44,-0.00010100776264410084
p65mas,PC45,0.0002222362351894271
p65mas,PC46,5.99112352547307e-06
p65mas,PC47,-4.14668913212787e-05
p65mas,PC48,-3.1081082422214627e-06
p65mas,PC49,8.097790525876919e-05
p65mas,PC50,-9.671297779119218e-06
p65mas,PC51,8.452568844499623e-06
p65mas,PC52,-1.9510857060241102e-06
p65mas,PC53,1.4414765728466275e-06
p65mas,PC54,4.110053476197704e-06
p65mas,PC55,5.4186912701441e-08
p65mas,PC56,-2.9885297543383254e-07
p65mas,PC57,-6.636897994349907e-07
p65mas,PC58,2.9613322734499885e-07
p65mas,PC59,-1.6909964477199593e-06
p65mas,PC60,-2.678297389644704e-06
p65mas,PC61,4.164785925671749e-08
p65mas,PC62,5.908777594362612e-08
p65mas,PC63,5.980626707380651e-08
p65mas,PC64,2.4741190362633804e-08
p65mas,PC65,1.7348077246349476e-08
p65mas,PC66,1.8028008123279085e-08
p65mas,PC67,1.440037648589068e-17
p65mas,PC68,2.644840724742832e-18
p65mas,PC69,2.5974936240041138e-17
p65mas,PC70,-5.856955601334573e-18
p65mas,PC71,1.4067221575013973e-18
p65mas,PC72,2.6813193174814393e-17
p65mas,PC73,-9.024453249262319e-17
p65mas,PC74,-3.370368995083839e-17
p65mas,PC75,-1.8710705532229066e-17
p65mas,PC76,-1.6577773018066253e-17
p65mas,PC77,-5.882086469395437e-20
sexo_desc__hombre,PC1,0.0076624227552601325
sexo_desc__hombre,PC2,0.30494992011554867
sexo_desc__hombre,PC3,0.10394805442791422
sexo_desc__hombre,PC4,0.08449749788181916
sexo_desc__hombre,PC5,0.32371866917579367
sexo_desc__hombre,PC6,-0.6467078812555048
sexo_desc__hombre,PC7,-0.10895022980808884
sexo_desc__hombre,PC8,-0.38600401187443695
